accession	length	gc_content	gc_cluster
K01060	15	0.7333	1
K01059	75	0.6667	1
K00321	75	0.6533	1
X76506	60	0.6500	1
U24144	391	0.6419	1
A21197	19	0.6316	1
AX205144	19	0.6316	1
AX205145	19	0.6316	1
AX207371	19	0.6316	1
AX207372	19	0.6316	1
AX033374	16	0.6250	1
U24157	270	0.6148	1
M26096	75	0.6133	1
K00157	76	0.6053	1
K02004	77	0.5974	1
K00367	85	0.5882	1
A21196	12	0.5833	1
M64034	2479	0.5805	1
K00368	85	0.5765	1
K00204	73	0.5753	1
M25168	75	0.5733	1
M25599	75	0.5733	1
K00171	75	0.5733	1
AX319390	28	0.5714	1
M14867	76	0.5658	1
M10266	78	0.5641	1
K01062	78	0.5641	1
K02850	78	0.5641	1
M36150	71	0.5634	1
M35070	75	0.5600	1
K00191	75	0.5600	1
DD364391	77	0.5584	1
DJ048647	77	0.5584	1
BD399192	77	0.5584	1
BD440825	77	0.5584	1
BD232897	103	0.5534	1
K01558	85	0.5529	1
K00286	76	0.5526	1
K00158	75	0.5467	1
M26099	77	0.5455	1
K00248	77	0.5455	1
K00798	77	0.5455	1
DL128418	68	0.5441	1
AX557350	68	0.5441	1
BD232898	103	0.5437	1
K01557	85	0.5412	1
HV764292	76	0.5395	1
DD465423	76	0.5395	1
DD495503	76	0.5395	1
M10263	76	0.5395	1
M14856	76	0.5395	1
K00249	76	0.5395	1
K01553	76	0.5395	1
AX205142	13	0.5385	1
AX207369	13	0.5385	1
JX072966	393	0.5344	1
K00159	75	0.5333	1
DL128416	62	0.5323	1
DL128417	62	0.5323	1
AX557348	62	0.5323	1
AX557349	62	0.5323	1
D23705	168	0.5298	1
D83552	168	0.5298	1
M25440	72	0.5278	1
M10740	76	0.5263	1
K00279	76	0.5263	1
K00287	76	0.5263	1
M10721	92	0.5217	1
K01047	121	0.5207	1
M10268	76	0.5132	1
K00298	76	0.5132	1
D25212	225	0.5111	1
D83562	225	0.5111	1
